"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"X1";"XTAL_HC49US";1;"16MHz";;;
2;"P8";"CONN30_SMD";1;"CONN_30_LCD_GRUVIN";;;
3;"IC1";"TQFP_100";1;"ATMEGA2560-A_GRUVIN";;;
4;"SW2,SW6,SW4,SW1,SW5,SW3";"SW_PUSH_6x4MM";6;"SW_PUSH";;;
5;"P5,P4";"CONN_2MM_9x1";2;"CONN_9";;;
6;"L1,L2";"SM0805";2;"10u";;;
7;"C2,C3,C4,C5,C6,C7,C8,C9,C10,C15,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C96,C95,C94,C93,C92,C91,C30,C33,C34,C36,C59,C58,C57,C56,C55,C54,C53,C43,C42,C41,C40,C39,C38,C37,C60,C61,C63,C64,C65";"SM0603_GRUVIN";51;"0u1";;;
8;"C13,C14";"SM0603_GRUVIN";2;"18p";;;
9;"C44,C45,C46,C47,C48,C49,C50,C51,C52,C16,C62";"SM0603_GRUVIN";11;"1u";;;
10;"R1,R42,R43,R44,R45,R50,R51,R52,R53,R58,R59,R60,R61,R62,R69,R74,R72,R81,R28,R27,R23,R16,R17,R33,R77,R101,R107,R108,R109,R110,R32,R111,R112,R114";"SM0603_GRUVIN";34;"5K1";;;
11;"R2";"SM0603_GRUVIN";1;"2K7";;;
12;"R3,R4,R5,R6,R8,R9,R10,R11,R12,R18,R19,R20,R26,R68,R71,R70,R83,R84,R91,R96,R95,R94,R93,R92,R100,R99,R98,R97,R90,R89,R88,R87,R86,R78,R22,R21,R14,R13,R102,R24";"SM0603_GRUVIN";40;"200R";;;
13;"R25,R35,R46,R47,R48,R49,R54,R55,R56,R57,R63,R64,R65,R66,R67,R118";"SM0603_GRUVIN";16;"10K";;;
14;"R36,R15,R85,R113,R115";"SM0603_GRUVIN";5;"100K";;;
15;"R37,R80";"SM0603_GRUVIN";2;"150K";;;
16;"R38,R41,R116";"SM0603_GRUVIN";3;"NC";;;
17;"R39,R40";"SM0603_GRUVIN";2;"0R";;;
18;"R73,R75,R82,R103,R117";"SM0603_GRUVIN";5;"1K";;;
19;"P9,P25,P26";"TP";3;"CONN_1";;;
20;"R76";"SM0603_GRUVIN";1;"3K9";;;
21;"Q3";"SOT23-BCE";1;"BC857C";;;
22;"Q2,Q1,Q4,Q7,Q5,Q8,Q9";"SOT23-BCE";7;"BC847C";;;
23;"P10";"PIN_ARRAY_5x2_GRUVIN";1;"CONN_5X2";;;
24;"P1";"PIN_ARRAY_3X2_GRUVIN";1;"CONN_3X2";;;
25;"U1,U2";"SOT89_OGI";2;"78L05";;;
26;"U3";"SOT89_GIO";1;"LN-6206-30";;;
27;"H1,H3,H5,H7,H9";"HOLE_M2.5";5;"HOLE_M2.5";;;
28;"H2,H4,H6,H8";"HOLE_M3";4;"HOLE_M3";;;
29;"R7";"SM0603_GRUVIN";1;"180K";;;
30;"U4";"SO8E";1;"TPS77601";;;
31;"R30,R29";"SM0603_GRUVIN";2;"100R";;;
32;"R31,R34,R79";"SM0603_GRUVIN";3;"10K2";;;
33;"J4,J1";"JUMPER_3PAD";2;"JUMPER_2W";;;
34;"P6,P3";"CONN_2MM_6x1";2;"CONN_6";;;
35;"P7";"CONN_2MM_12x1";1;"CONN_12";;;
36;"P2,K4";"CONN_2MM_5x1";2;"CONN_5";;;
37;"P14,P18";"CONN_2MM_2x1";2;"CONN_2";;;
38;"K1,K2,K5,K6";"CONN_2MM_3x1";4;"CONN_3";;;
39;"P15,P12";"CONN_2MM_4x1";2;"CONN_4";;;
40;"P13";"CONN_2MM_8x1";1;"CONN_8";;;
41;"Q6,Q10";"SOT23GDS";2;"Si2319DS";;;
42;"R104,R105";"SM0603_GRUVIN";2;"68R";;;
43;"R106";"SM0603_GRUVIN";1;"1K5";;;
44;"D1";"SM0603_DIODE";1;"DIODESIL";;;
45;"D3,D4";"sod523";2;"3V6";;;
46;"D16,D17,D5";"SM0603_DIODE";3;"DIODESCH";;;
47;"U5";"SOT23-IGO";1;"REF3012";;;
48;"K3";"PIN_ARRAY_3X1_SMP_GRUVIN";1;"CONN_3";;;
49;"P21";"PIN_ARRAY_3x1_GRUVIN";1;"CONN_3";;;
50;"C12,C35,C18,C31";"SM1206_GRUVIN_POL";4;"47u";;;
51;"C1,C11";"SM1206_GRUVIN_POL";2;"10u";;;
52;"C32";"SM1210_GRUVIN_POL";1;"22u";;;
53;"F1";"SM1206";1;"FUSE";;;
54;"P23,P24,P11";"TP_SML";3;"CONN_1";;;
55;"D2";"sod523";1;"5V1";;;
56;"P20";"PIN_ARRAY_5X2_GRUVIN";1;"CONN_8";;;
